filename|description|fullimage|expanded
1-thumb.jpg|Ukiyo-e figure study — ink and watercolour on paper|1-full.jpg|A classically composed figure study in the tradition of Japanese ukiyo-e printmaking, rendered in fluid ink lines and delicate watercolour washes. The figure is captured in a moment of stillness, drapery suggesting movement through careful tonal gradation. Marguerite's hand bridges centuries of East Asian figurative practice with a distinctly contemporary sensitivity.
2-thumb.jpg|Fujin the wind god — pigment on gold leaf|2-full.jpg|Fujin, the Shinto god of wind, is depicted mid-flight against a luminous ground of genuine gold leaf. The deity's billowing sack of winds trails behind him in swirls of vivid pigment, while the gold leaf ground lends the work a sacred, icon-like authority. A meditation on elemental force rendered with ceremonial precision.
3-thumb.jpg|Two cranes at the red sun — ink and pigment on linen|3-full.jpg|Two cranes rise against a blazing disc of red, their white forms defined by the absence of ink rather than its presence. In East Asian tradition, cranes symbolise longevity, fidelity, and transcendence — values held quietly within this spare and luminous composition. The rough weave of the linen ground adds texture and earthiness to what might otherwise feel purely celestial.
4-thumb.jpg|Lone branch in snow — sumi-e ink on rice paper|4-full.jpg|A single branch bends under the weight of snow in this restrained sumi-e study. The work belongs to the tradition of negative-space composition, where what is left unpainted carries as much meaning as what is laid down. Ink graduates from deep black to the palest grey, tracing the slow accumulation of winter silence.
5-thumb.jpg|Coiling dragon — pigment on black ground|5-full.jpg|A dragon spirals through darkness in this richly pigmented work, its scales rendered in meticulous detail against an unrelenting black ground. In Chinese iconography the dragon embodies imperial power, cosmic force, and auspicious energy — here caught in a moment of perpetual becoming, coiling endlessly through the void.
6-thumb.jpg|Crashing waves over cliff — ink and acrylic on paper|6-full.jpg|Crashing waves surge against a sheer cliff face in this kinetic composition of ink and acrylic. The contrast between the rigid permanence of stone and the ceaseless motion of water is rendered through opposing mark-making: deliberate, structured strokes for the cliff; explosive, gestural washes for the sea. A study in the drama of natural forces in collision.
7-thumb.jpg|Abstract totem in blue and red — acrylic on canvas|7-full.jpg|Stacked forms in deep cobalt and arterial red build upward into a vertical composition evoking the columnar structure of a ceremonial totem. The work draws on traditions of monumental Indigenous art while remaining firmly in the language of geometric abstraction. Bold, primary, and grounded in elemental human mark-making.
8-thumb.jpg|Fishing net at rest — sumi-e ink on rice paper|8-full.jpg|The intricate geometry of a fishing net, folded and stilled, becomes the subject of this meditative sumi-e work. What reads as pure pattern reveals itself slowly as something observed — nets hauled from the water, spread to dry in the morning air. Ink pools and feathers where the rice paper resists, lending the work an organic unpredictability.
9-thumb.jpg|Flowering branches on celadon — ink and pigment on silk|9-full.jpg|Flowering branches arch across a celadon-toned silk ground in this quietly luxuriant composition. The soft grey-green of the background — evoking the famed glazed ceramics of the Song dynasty — provides a cool foil for the warmer pinks and whites of the blossom. A work of great refinement and contemplative stillness.
10-thumb.jpg|Painted bunting on eucalyptus — ink and pigment on paper|10-full.jpg|A painted bunting — among the most vividly coloured of songbirds — perches on the silver-grey bark of a eucalyptus branch. The bird's plumage of scarlet, cobalt, and chartreuse is rendered in layered pigment washes, while the branch is suggested with spare, confident ink strokes. East Asian bird-and-flower tradition meets the Australian landscape.
11-thumb.jpg|Crimson rosella in blossom — ink and pigment on paper|11-full.jpg|A crimson rosella alights among cherry blossoms in this delicate and joyful work. The bird's brilliant red is balanced by the soft pink of the blossom and the dark, calligraphic ink strokes of the branch. In the tradition of Japanese kachō-e bird-and-flower painting, the composition draws the eye through layers of colour and luminous atmosphere.
12-thumb.jpg|Constructivist composition — acrylic on canvas|12-full.jpg|Bold geometric forms in a restrained palette engage in dynamic tension across the canvas, echoing the formal concerns of Russian Constructivism and the Bauhaus. Diagonal thrust is countered by horizontal bands; saturated colour fields press against one another at clean, uncompromising edges. A rigorous and energetic exercise in pure visual form.
13-thumb.jpg|Heron at rest — acrylic on canvas|13-full.jpg|A grey heron stands motionless among reeds and rushes, its plumage rendered in soft washes of blue-grey against a muted, atmospheric ground. Herons recur across East Asian painting as emblems of patience and quiet vigilance, qualities held in the bird's stillness here. Feathered detail gives way to loose, gestural reeds at the water's edge, a study in patience translated directly into brushwork.
14-thumb.jpg|Dragon and guardian — acrylic and gold pigment on canvas|14-full.jpg|A serpentine dragon coils protectively around a masked, armoured figure, its body picked out in cobalt and burnt orange against a field of deep red. The pairing evokes the guardian dragons of East Asian temple statuary, their coils standing watch over the sacred and the human alike. Rendered with the same confident, contour-driven line that runs through Marguerite's other dragon studies, the work trades the black void of stillness for a charged, ceremonial red.
15-thumb.jpg|Tools of the garden — ink and watercolour on paper|15-full.jpg|A row of well-worn garden implements — spades, a fork, shears — hangs against weathered timber, each rendered with the loose economy of ink and watercolour. Amid the tools, a small mouse dangles playfully from a handle, a quiet note of mischief in an otherwise still composition. Drawn from Marguerite's own Northern Tablelands garden studio, the work turns the everyday tools of cultivation into a study of texture, wear, and companionship.
